0,0.14,2.3267574
1,0.08,2.3214145
2,0.08,2.3420434
3,0.11,2.3435855
4,0.14,2.2550192
5,0.18,2.2845778
6,0.1,2.3017845
7,0.13,2.3179846
8,0.13,2.2941868
9,0.08,2.3304381
10,0.19,2.2837913
11,0.2,2.2736416
12,0.14,2.2514346
13,0.2,2.2678638
14,0.18,2.2811751
15,0.12,2.2845206
16,0.21,2.2545981
17,0.16,2.271949
18,0.15,2.2966914
19,0.24,2.2384841
20,0.18,2.2865615
21,0.15,2.2867875
22,0.15,2.2791824
23,0.25,2.2083693
24,0.18,2.254569
25,0.27,2.22034
26,0.17,2.2661037
27,0.18,2.2415633
28,0.21,2.2536054
29,0.24,2.2509053
30,0.28,2.2135918
31,0.28,2.2298348
32,0.17,2.2502313
33,0.22,2.229735
34,0.27,2.2466214
35,0.32,2.1910665
36,0.24,2.19696
37,0.34,2.2027535
38,0.36,2.1787913
39,0.33,2.218748
40,0.25,2.20603
41,0.28,2.2005548
42,0.28,2.1749394
43,0.24,2.1819692
44,0.27,2.1795766
45,0.24,2.2058327
46,0.21,2.2175
47,0.29,2.1719434
48,0.34,2.185303
49,0.28,2.1684604
50,0.3,2.1754978
51,0.26,2.1789768
52,0.37,2.1621273
53,0.34,2.1651833
54,0.29,2.1794538
55,0.3,2.169082
56,0.3,2.154798
57,0.39,2.1322227
58,0.3,2.1733122
59,0.35,2.151872
60,0.39,2.1141484
61,0.35,2.143081
62,0.35,2.1413937
63,0.42,2.0952241
64,0.42,2.133496
65,0.33,2.1209707
66,0.44,2.0799387
67,0.36,2.1279526
68,0.4,2.0660563
69,0.38,2.1182396
70,0.44,2.067644
71,0.42,2.0987377
72,0.49,2.0629714
73,0.41,2.0844266
74,0.38,2.1146367
75,0.35,2.1306238
76,0.45,2.076662
77,0.39,2.0832257
78,0.43,2.0463204
79,0.32,2.0876403
80,0.44,2.0435028
81,0.49,1.9759582
82,0.42,2.053767
83,0.39,2.0873148
84,0.44,2.0408485
85,0.54,2.0138376
86,0.44,1.9995232
87,0.46,1.9854969
88,0.48,1.9985677
89,0.5,2.010043
90,0.49,1.9926944
91,0.52,1.9997411
92,0.43,1.9778244
93,0.46,2.0071332
94,0.58,1.9258102
95,0.41,2.0198357
96,0.44,1.9706398
97,0.46,2.0172634
98,0.4,2.014167
99,0.49,1.9864329
100,0.42,2.0083084
101,0.45,1.9692521
102,0.41,1.9914753
103,0.49,1.9543887
104,0.51,1.9734137
105,0.58,1.8815213
106,0.61,1.8256278
107,0.49,1.9195223
108,0.5,1.9298557
109,0.56,1.8255794
110,0.54,1.8638912
111,0.6,1.8559859
112,0.55,1.8448628
113,0.49,1.8979492
114,0.6,1.8232536
115,0.58,1.8802333
116,0.55,1.8479046
117,0.58,1.7987862
118,0.49,1.8841796
119,0.58,1.8204443
120,0.45,1.8468486
121,0.61,1.8360913
122,0.55,1.8345648
123,0.51,1.8076417
124,0.56,1.8004326
125,0.52,1.8176557
126,0.54,1.7853403
127,0.45,1.8590356
128,0.59,1.7784019
129,0.5,1.7950413
130,0.65,1.686428
131,0.58,1.743068
132,0.62,1.7390743
133,0.58,1.7300533
134,0.62,1.7099155
135,0.58,1.8051697
136,0.55,1.7592365
137,0.55,1.7002717
138,0.63,1.7519858
139,0.49,1.7954118
140,0.64,1.6416739
141,0.56,1.6693697
142,0.47,1.7633955
143,0.63,1.640262
144,0.57,1.7073082
145,0.55,1.6644539
146,0.61,1.6803676
147,0.66,1.6057602
148,0.61,1.6484295
149,0.5,1.7438718
150,0.63,1.6621414
